"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"G2-M Checkpoint","21/200",0.999238030466002,0.999996090192148,0,0,0.518745372551659,0.000395418837479184,"JPT1;HSPA8;SMAD3;CUL5;EGF;CUL3;ODC1;CBX1;CUL1;FOXN3;RAD23B;GSPT1;HOXC10;CUL4A;RPS6KA5;ORC6;RBL1;NSD2;MAP3K20;DMD;MNAT1"
"Angiogenesis","1/36",0.999329840697405,0.999996090192148,0,0,0.12676626206038,8.49820687184792e-05,"SERPINA5"
"Coagulation","12/138",0.999546769299869,0.999996090192148,0,0,0.421456536725589,0.000191060341692455,"F8;C8G;GDA;S100A1;HPN;PREP;S100A13;RGN;MSRB2;ISCU;SIRT2;SH2B2"
"Pancreas Beta Cells","1/40",0.999701277425182,0.999996090192148,0,0,0.113736662756271,3.39807844161572e-05,"ABCC8"
"IL-6/JAK/STAT3 Signaling","5/87",0.999846631562789,0.999996090192148,0,0,0.270051466872357,4.14205478241814e-05,"CNTFR;JUN;HAX1;PTPN11;INHBE"
"TNF-alpha Signaling via NF-kB","17/200",0.999969664809015,0.999996090192148,0,0,0.410206741519293,1.2443888592076e-05,"MAP2K3;JUN;CEBPB;SMAD3;TSC22D1;EIF1;PANX1;PER1;SNN;BCL6;TNIP1;DNAJB4;KLF9;TRIP10;PDLIM5;IER5;SQSTM1"
"IL-2/STAT5 Signaling","15/199",0.999991475071582,0.999996090192148,0,0,0.359760917108422,3.06694913862978e-06,"PHTF2;S100A1;ODC1;ITGAE;ENO3;IKZF4;PDCD2L;HIPK2;RRAGD;MAPKAPK2;BCL2;ETFBKMT;CAPN3;SLC29A2;PLEC"
"Complement","15/200",0.999991928955181,0.999996090192148,0,0,0.357794098089341,2.88778385531824e-06,"USP15;CEBPB;ACTN2;BRPF3;PREP;HPCAL4;ADRA2B;F8;ZEB1;FDX1;S100A13;CALM3;ZFPM2;RAF1;MSRB1"
"Apoptosis","10/161",0.999993556171215,0.999996090192148,0,0,0.292453802387577,1.88452830190541e-06,"JUN;PAK1;WEE1;SATB1;PSEN2;VDAC2;HSPB1;DNM1L;SQSTM1;SOD1"
"KRAS Signaling Up","14/200",0.999994116993221,0.999996090192148,0,0,0.332034429760761,1.9533665469675e-06,"MTMR10;PTCD2;SATB1;HDAC9;PTBP2;GADD45G;GPRC5B;AKT2;TNNT2;TSPAN7;CCSER2;SPRY2;SCN1B;CBR4"
"E2F Targets","12/200",0.99999505962925,0.999996090192148,0,0,0.281384576938053,1.39014756737638e-06,"JPT1;WEE1;POP7;ORC6;BRMS1L;POLD2;MLH1;IPO7;GSPT1;UNG;TBRG4;E2F8"
"Epithelial Mesenchymal Transition","12/200",0.99999505962925,0.999996090192148,0,0,0.281384576938053,1.39014756737638e-06,"IL32;JUN;SLC6A8;SGCD;DST;SGCB;GPC1;TPM2;TPM1;SGCG;PFN2;CAP2"
"Inflammatory Response","12/200",0.99999505962925,0.999996090192148,0,0,0.281384576938053,1.39014756737638e-06,"RNF144B;CSF3;SEMA4D;P2RY2;HPN;ADRM1;ATP2A2;KIF1B;RAF1;ROS1;SCN1B;KCNJ2"
"Allograft Rejection","9/200",0.999995140592647,0.999996090192148,0,0,0.207515032350991,1.00840252424508e-06,"IKBKB;ACHE;EIF3J;UBE2D1;MTIF2;APBB1;EIF4G3;HDAC9;RPL3L"
"Interferon Gamma Response","3/200",0.999995141501948,0.999996090192148,0,0,0.0669303863123971,3.25181941436217e-07,"RNF31;EIF4E3;SSPN"
"Interferon Alpha Response","2/97",0.999996090192148,0.999996090192148,0,0,0.0930880729472824,3.63957190082923e-07,"RNF31;GMPR"
