"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Spinocerebellar ataxia","38/143",0.00953050056883362,0.0956917813891851,0,0,1.61508089343027,7.51538814793649,"RYR1;PSMD12;PSMD11;ATP2A2;ATP2A1;OMA1;VLDLR;PSMA7;PSMD8;PSMB6;MAPK9;PSMD7;PSMB5;PSMD4;OPA1;AKT2;PSMD2;PSMD3;TWNK;ADRM1;WIPI1;ATG14;MTOR;AFG3L2;PSMC6;PSMC3;MYOD1;PSMC1;PPIF;VDAC3;ULK2;VDAC2;CYCS;ULK1;VDAC1;ATXN10;SLC25A4;MCU"
"Arrhythmogenic right ventricular cardiomyopathy","23/77",0.00953840907737858,0.0956917813891851,0,0,1.89892947742263,8.83463375470676,"ACTN3;ACTN2;CACNA2D1;CACNA2D3;ATP2A2;ATP2A1;CACNB1;CACNG6;SLC8A3;SGCD;DES;SGCA;SGCB;DAG1;ITGA7;CTNNA3;DMD;ITGB6;CACNA1S;CACNG1;CTNNA2;EMD;SGCG"
"cGMP-PKG signaling pathway","43/167",0.0109093334668131,0.10602508463059,0,0,1.54787390029326,6.99350568207437,"MYLK2;CALML6;IRS1;ROCK2;SRF;ATP1A4;ATP2A2;ATP2A1;ADCY2;ATP1A2;ADRB2;MYLK3;MYLK4;PPP1CB;PPP1CC;PPP3CB;PPP3CC;PLN;AKT2;GNA11;CACNA1S;MEF2D;PRKG1;MEF2A;MEF2C;MAP2K2;ATP1B4;ATP2B2;ATP1B1;ADRA2B;SLC8A3;ADCY9;PPIF;VDAC3;VDAC2;VDAC1;CALM3;GTF2IRD1;RAF1;SLC25A4;MYH6;ATF4;MYH7"
"Neurotrophin signaling pathway","32/119",0.0137386796219902,0.129476647346635,0,0,1.64057493362629,7.03403080543961,"YWHAE;CAMK2B;CAMK2D;CALML6;IRS1;CAMK2A;ARHGDIG;PSEN2;FOXO3;CRKL;IKBKB;NTF4;MAPK9;RPS6KA5;AKT2;MAP2K7;HRAS;CAMK2G;MAP2K5;SH2B2;SH2B1;JUN;MAP2K2;PTPN11;MAPK12;MAPKAPK2;BCL2;RAPGEF1;CALM3;RAF1;SOS2;ATF4"
"Proteasome","15/46",0.0146150351026233,0.133684585791642,0,0,2.15559357307889,9.10890141580121,"PSMD12;PSMD11;ADRM1;PSMA7;PSMB6;PSMD8;PSMB5;PSMD7;PSMC6;PSMD4;PSMC3;PSMD2;PSMC1;PSMD3;PSME4"
"Mannose type O-glycan biosynthesis","9/23",0.0160639384611695,0.142739567469249,0,0,2.86215299438553,11.8240645315426,"B3GALNT2;B4GALT2;POMT2;FKRP;B4GAT1;POMGNT2;LARGE1;POMGNT1;ST3GAL3"
"Fatty acid elongation","10/27",0.0173159925683893,0.149590935799141,0,0,2.6191967368438,10.6237887842839,"HADHB;HADHA;HACD1;ACAA2;ECHS1;MECR;TECR;ACOT2;ACOT1;HADH"
"Circadian rhythm","11/31",0.0180443552413746,0.15041575553018,0,0,2.44916712179137,9.83321587034798,"PER1;PRKAB2;PRKAA2;PER3;CRY2;BHLHE41;CUL1;PRKAG1;RORC;PRKAG3;SKP1"
"Nicotinate and nicotinamide metabolism","12/35",0.0183787739876104,0.15041575553018,0,0,2.32352766528508,9.28611509548619,"NADK2;NMNAT1;NMRK2;NNT;NT5C1A;SIRT4;SIRT5;NT5M;NT5C2;SIRT2;NUDT12;SIRT3"
"Adipocytokine signaling pathway","20/69",0.0208287952339369,0.16609629019883,0,0,1.81880143242624,7.04134217428672,"PRKAB2;PRKAA2;IRS1;PRKAG1;PTPN11;SLC2A4;CPT1B;ACACB;PRKAG3;MTOR;IKBKB;RXRB;MAPK9;STK11;RXRA;AKT2;PRKCQ;PPARA;PPARGC1A;RXRG"
"Butanoate metabolism","10/28",0.0226050130381187,0.175753976371373,0,0,2.47353414020081,9.37366436587446,"HMGCL;HADHA;ECHS1;ALDH5A1;BDH1;OXCT1;L2HGDH;HADH;ACADS;ACAT1"
"GnRH signaling pathway","25/93",0.0271546360319445,0.205977848925238,0,0,1.63858923503612,5.90909277395816,"CAMK2B;CAMK2D;CALML6;CAMK2A;ADCY2;MAPK9;GNA11;CACNA1S;PRKACA;MAP2K7;HRAS;CAMK2G;MAP2K6;MAP2K3;MAP2K4;JUN;MAP2K2;PLA2G4C;MAPK12;ADCY9;GNAS;CALM3;RAF1;SOS2;ATF4"
"Glycolysis / Gluconeogenesis","19/67",0.0297653717471818,0.220405490794608,0,0,1.76348408137201,6.19760535512704,"GPI;TPI1;ACSS2;PDHA1;ADH1C;PGAM2;PDHB;ENO3;HK1;PKM;ALDH1B1;DLAT;ALDOA;ACSS1;DLD;GAPDH;PFKM;PGM1;FBP2"
"Insulin resistance","28/108",0.0319175887050218,0.230845815982832,0,0,1.56006858710562,5.37380921468983,"PRKAA2;IRS1;PRKAG1;PPP1R3A;PYGM;SLC2A4;ACACB;PRKAG3;PPP1CB;IKBKB;PTPA;PPP1CC;GYS1;MAPK9;AKT2;MLX;PPARGC1A;MLXIP;PRKAB2;PTPN11;CPT1B;MTOR;MLXIPL;PPP1R3C;TBC1D4;PPP1R3B;PRKCQ;PPARA"
"Ubiquinone and other terpenoid-quinone biosynthesis","5/11",0.0361083687999262,0.252297521713142,0,0,3.70796982915304,12.315022926452,"COQ3;COQ2;COQ7;COQ6;COQ5"
"beta-Alanine metabolism","10/30",0.0365060722736058,0.252297521713142,0,0,2.22590772590773,7.3683704114624,"HADHA;ALDH6A1;ECHS1;ALDH1B1;CARNS1;GADL1;MLYCD;ACADS;UPB1;HIBCH"
"Sulfur relay system","4/8",0.0424590099215582,0.287059827947926,0,0,4.44889615699101,14.0550245483028,"MPST;MOCS2;NFS1;TST"
