"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)","110/367",3.57611939742747e-08,5.9907152145705e-06,0,0,1.93045470579049,33.1003533909085,"UBE2D4;UBE3C;UBXN2A;UBE2D2;KEAP1;UBE2D1;UBE3B;FBXO21;PSMD8;RNF115;PSMD7;PSMD4;PSMD2;PSMD3;SKP1;FBXW4;FBXW5;KCTD2;UBE4B;ARMC8;FBXO10;RNF126;CDC34;RNF128;PLAA;SQSTM1;RNF122;PSMD12;PSMD11;CUL3;CUL1;NEDD4L;UBR3;ANAPC11;BAG6;SHARPIN;KLHDC2;KLHDC3;ZRANB1;UBE2H;KLHL25;UBE2B;KLHL22;CNOT4;COPS3;NSFL1C;NPLOC4;RNF187;TRIM72;GSK3A;RNF11;UBXN1;FAF1;OTUD7B;ANKRD9;ARIH2;ARIH1;RNF150;UBL7;GET4;RAD23A;VPS37A;RAD23B;SIRT2;RNF144B;CHMP6;PRKN;RNF34;VPS4A;RCHY1;RNF5;PSMA7;FBXL22;PSMB6;RMND5B;ZNRF1;C18ORF25;PSMB5;HECTD1;MTA1;RMND5A;MVB12B;FEM1C;DCAF11;UBQLN4;UBL4A;ATE1;FEM1A;AMFR;FBXL17;WWP1;PEX10;UBE2G1;UBE2G2;PEX12;USP28;RNF146;SPSB3;CUL4A;PINK1;GID4;PSMC6;PSMC3;NEDD4;PSMC1;KLHL8;UBAP1;STUB1;ASB2;TRIM32"
"Protein Transmembrane Import Into Intracellular Organelle (GO:0044743)","20/32",4.1767385332969e-08,6.7261641594391e-06,0,0,7.44365361803084,126.476235597524,"DNAJC19;TOMM70;PAM16;TIMM23;PEX10;TIMM44;PEX1;TIMM21;PEX12;PEX14;TOMM40L;TIMM50;CHCHD4;PEX7;TIMM23B;GRPEL1;PEX6;PEX5;TIMM17A;TIMM17B"
"Actomyosin Structure Organization (GO:0031032)","35/77",4.33635225178739e-08,6.7261641594391e-06,0,0,3.73030053142752,63.2421993248004,"FHOD3;ROCK2;CUL3;FLII;LMOD3;MYLK3;MYOM2;MYPN;LMOD2;TTN;CSRP3;SIX4;ANKRD1;MYO18A;CAPN3;FLNC;MYOZ1;MYOZ2;TMOD1;MYH7B;ACTN2;TMOD4;TPM1;KLHL41;FRMD3;MYH3;OBSCN;SYNPO2L;TNNT1;TNNT2;TNNT3;TCAP;CASQ1;MYH6;MYH7"
"Skeletal Muscle Organ Development (GO:0060538)","21/35",5.32840601624133e-08,7.9697729985781e-06,0,0,6.70030120481928,112.214156149215,"POPDC2;MYOG;ZBTB18;POPDC3;MYH7B;SVIL;MEF2C;SIX1;MYL6B;FXR1;CSRP3;DES;SIX4;MYOD1;MYF6;DMD;LARGE1;MYOZ1;BVES;MYOZ2;MYF5"
"Intracellular Protein Transmembrane Transport (GO:0065002)","24/46",2.34949692318992e-07,3.39299762562737e-05,0,0,4.87456090086948,74.4047829394014,"RTN2;DNAJC19;TOMM70;PAM16;TIMM23;PEX10;TIMM44;PEX1;TIMM21;PEX12;PEX13;PEX14;TOMM40L;TIMM50;CHCHD4;SEC61A2;PEX7;TIMM23B;GRPEL1;AKT2;PEX6;PEX5;TIMM17A;TIMM17B"
"Translation (GO:0006412)","75/234",2.97857211001863e-07,4.05781494749162e-05,0,0,2.1196262074318,31.8508845900279,"MRPS17;HBS1L;MRPS15;MRPS16;FASTKD2;GFM2;MRPS11;MRPL38;MRPL39;MRPS10;MRPL37;MRPL34;APEH;MRPL35;MRPL33;MRPL41;MRPL4;MRPL2;MRPL40;MRPL1;MRPS28;TSFM;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;PABPC4;DHPS;MRPS18B;MRPS18A;MRPS2;MRPL48;MRPL45;MRPS7;QRSL1;MRPL46;MRPL43;MRPS5;MRPL44;TUFM;EEF1G;MRPS9;MRPL51;EEF1A2;AURKAIP1;MRRF;MRPS33;MRPL19;MRPS34;MRPL16;MRPS31;MRPL14;MRPL58;MRPS30;MRPL12;MRPL57;GSPT1;MRPL10;MRPL20;IARS2;ABCF1;GADD45GIP1;PTCD3;NDUFA7;GATB;EEF2;MRPL24;MRPL21;RPL3L;MRPL30;COPS5;TNIP1;DRG1;EIF4G1"
"Branched-Chain Amino Acid Catabolic Process (GO:0009083)","13/17",3.00363570611844e-07,4.05781494749162e-05,0,0,14.4944672131148,217.681853913729,"BCKDHA;MCCC2;ECHS1;HIBADH;MCCC1;ACAT1;BCKDK;HMGCL;ALDH6A1;IVD;DBT;DLD;HIBCH"
"Protein Targeting To Mitochondrion (GO:0006626)","28/59",3.15356960352083e-07,4.12723421860789e-05,0,0,4.03812558077791,60.4489657220897,"MTCH2;NDUFA13;TIMM13;MFF;TIMM50;CHCHD4;IMMP2L;TIMM23B;SAMM50;AIFM1;GRPEL1;PITRM1;TIMM17A;TIMM17B;MFN2;PMPCA;TOMM70;DNAJC19;TIMM8B;FIS1;TIMM29;MTX2;PAM16;TIMM23;TIMM44;TIMM21;TOMM40L;IMMP1L"
"Amino Acid Catabolic Process (GO:0009063)","21/38",3.73476258784897e-07,4.53335610654028e-05,0,0,5.51688035564719,81.6520989001982,"BCKDHA;MCCC2;ECHS1;MTRR;GOT2;MCCC1;ETFA;ETFB;HOGA1;THNSL2;DDO;ALDH4A1;BCKDK;ALDH6A1;ALDH5A1;IVD;CARNS1;DBT;PRODH;DLD;HIBCH"
"Branched-Chain Amino Acid Metabolic Process (GO:0009081)","12/15",3.78862138798734e-07,4.53335610654028e-05,0,0,17.8355640535373,263.718316791759,"BCKDHA;MCCC2;BCKDK;ECHS1;PCCA;IVD;MCCC1;DBT;PCCB;DLD;HIBCH;BCAT2"
