"cluster_id","gene","log2FoldChange","foldChange","pvalue","FDR","baseMean"
2,"EFEMP2",0.554678482838262,1.46884125272697,1.01990929462609e-06,4.98080795561954e-05,4567.13149653108
2,"FANK1",0.619002997549846,1.5358134607248,1.02457332377406e-06,4.98990290850561e-05,39.4967894105119
2,"NNMT",0.949246735849602,1.93086424613286,1.36498491811748e-06,6.19709099634148e-05,13458.1325137968
2,"BEX3",0.627068305132139,1.5444233859651,1.48456978492174e-06,6.57108321690527e-05,2461.50079401249
3,"AC005523.2",3.83148061854005,14.2360857075716,2.02116968931883e-122,6.95848300638686e-118,1903.46630901334
3,"FEM1A",3.68594517874016,12.8700448743478,2.4869002167296e-104,4.28095003307833e-100,547.179605210704
3,"GOT1",2.98820330760904,7.93485196309082,5.477099734581e-95,6.28551965540516e-91,858.069089427904
3,"PFKM",4.16456359315989,17.9332317298418,2.27417946803799e-86,1.9573862681403e-82,2265.33862275686
3,"TMEM182",4.07790083605135,16.8876986627754,1.69504829474876e-80,1.1671424538322e-76,245.625107782855
3,"LRRC20",4.0820045092022,16.9358032514633,1.07163468372295e-79,6.1490398152023e-76,541.117464564904
3,"DYRK1B",2.82742297040855,7.09805114812249,2.42081036470137e-78,1.19062370337055e-74,949.154297634535
3,"ADPRHL1",5.73659129164285,53.3194979687815,3.45932900056437e-77,1.48872223539288e-73,456.707958597345
3,"SLC25A12",2.29213724285952,4.89781147380197,5.38588671975313e-75,2.0602811998629e-71,869.85837092547
3,"C19orf47",2.07196961245695,4.20460307369629,1.18511870439057e-72,4.08012667547585e-69,537.065921811194
3,"SLC25A4",5.28881832043794,39.0924560041453,7.20881422190511e-72,2.25622778210681e-68,1820.04320529273
3,"AGL",3.35924598540043,10.2620423931058,2.29468598949744e-70,6.58345410386816e-67,1309.81634345851
3,"PPP2R3B",3.25498189700382,9.54656615280098,1.85685637592897e-69,4.91752702388328e-66,313.282023476304
3,"GOT2",2.20778088486085,4.61964145821638,2.49869871981609e-68,5.40804213205457e-65,1898.15328122917
3,"CYB5R1",2.08525399430184,4.24349799059328,2.51332270573002e-68,5.40804213205457e-65,2393.03913805257
3,"FXR1",1.95183389233832,3.86865986669923,2.40991327131148e-68,5.40804213205457e-65,3721.45197199637
3,"GAMT",4.63172179402109,24.7906087660019,9.80869648207934e-68,1.98643413226487e-64,1158.4715357712
3,"DNAJB6",1.28359993772745,2.43445686387126,1.04913016280078e-66,2.00663629138363e-63,4989.0320606901
3,"DNAJA4",3.12597485385337,8.72995885209961,2.16558874369266e-66,3.9240468035711e-63,723.100761549853
3,"CIPC",2.36338734143157,5.14577130873579,4.93292152258061e-66,8.49153110897027e-63,668.893703412348
4,"ATP13A1",0.903050866840637,1.87001632776368,2.60097448170153e-59,9.70761705805463e-55,1652.01362647732
4,"HYOU1",1.22908129402834,2.3441766549968,2.71755420029291e-56,4.02580958238772e-52,4636.15770976105
4,"DPAGT1",0.745176940614531,1.6761798332941,3.23592121404045e-56,4.02580958238772e-52,947.887629649528
4,"DNMT1",0.813256654408428,1.757173508574,9.90665025345866e-54,7.39491814819675e-50,1920.56907710826
4,"TPP1",1.23236128950072,2.34951224959168,2.39713508347205e-51,1.27811818172039e-47,10095.5057220738
4,"ADAM10",0.830268288177051,1.7780159771203,5.87550463734337e-50,2.74114324474458e-46,4186.72814245355
4,"MAN2A1",0.949130666717573,1.93070890857663,2.39417028574306e-49,9.92862417497648e-46,2755.72011348934
4,"HSPA5",1.07712319388251,2.10982478753138,1.23254515524791e-48,4.18202571175615e-45,20577.9002716137
4,"SLC12A7",0.82207927994911,1.76795221315817,1.60233259444532e-48,4.98365495187356e-45,2877.92861197683
4,"MOGS",0.841678341789306,1.79213378674829,2.73578034274087e-48,7.85442536400904e-45,1418.54392311934
4,"CD163",1.96267648640081,3.89784436304069,3.47463187750056e-48,9.26312039742524e-45,29098.1705672438
4,"PLXNB2",0.998646188469269,1.99812409901056,3.75527597936072e-48,9.34387769184535e-45,9148.76821500568
4,"WDR81",0.756050286157136,1.68886064025506,1.32017028381721e-47,3.07954471893185e-44,2287.44890784696
4,"GIT2",0.511630829527522,1.42566085907975,6.32845805278585e-47,1.18098519952063e-43,2645.72769084408
4,"RPN2",0.719084890115545,1.64613754865394,1.37797154568227e-46,2.33772872724998e-43,8968.75142953186
4,"HSP90B1",0.915174739839557,1.88579746659918,2.29365649678826e-46,3.72200614911427e-43,27971.5674199494
4,"SUSD6",0.851287853625644,1.80411068591245,3.87385146315205e-46,6.02432325663433e-43,3184.33735673545
4,"ABCC10",0.832975594969944,1.7813556670512,6.7843507848746e-46,9.73893555168749e-43,519.38901534203
4,"PDIA4",0.921287029436209,1.89380400420362,7.20224754892535e-46,9.95590686179781e-43,7278.71454747754
4,"PCNX3",0.663007947810238,1.58338045456502,9.74785418652058e-46,1.29935414929824e-42,1814.70549062018
5,"ATP5F1E",1.91098083132764,3.76064684307602,5.3642728755499e-81,1.28898702606055e-76,7890.4333737321
5,"NOP10",1.81087272334896,3.50854465237434,7.0438374057245e-81,1.28898702606055e-76,2130.7837556824
5,"GNG5",1.57746153326337,2.98444265516429,1.69595758492695e-75,2.06901172169138e-71,3624.01765736889
5,"BRI3",1.85626505199407,3.62069098393173,3.26440666273321e-74,2.98685048623432e-70,7071.15594847656
5,"ATOX1",1.75147345056836,3.36702270681521,1.95292334230309e-73,1.42950082809902e-69,1481.03719583634
5,"LAMTOR2",1.61456812862155,3.06219918633412,4.52615124637281e-73,2.76087682443331e-69,1714.5549879564
5,"RNF181",1.60877807254826,3.04993410398008,1.40508308415257e-72,7.34637654241427e-69,1940.11460914819
5,"RNASEK",1.48041426221027,2.79028843416737,1.36896001538556e-71,6.26282095038704e-68,7577.90080956961
5,"SCNM1",1.35272676220146,2.55394377093152,4.64322275521499e-71,1.88819232909015e-67,1209.82303132589
5,"CHCHD1",1.48631013210703,2.80171485382914,5.20470446758836e-71,1.90486978809266e-67,963.078557034369
5,"C11orf98",1.43538017259514,2.70453425902889,1.53822764444258e-68,5.11796305081401e-65,945.21902290564
5,"HSPB11",1.46473611803928,2.76012980793402,4.40726728250382e-68,1.34417979393631e-64,628.248437215897
5,"TMEM258",1.89671546302921,3.72364480732751,5.85454961021151e-68,1.64823585526255e-64,3545.99243044031
5,"EXOSC1",1.26855339698076,2.40919871907574,2.54956052796668e-67,6.66509755450374e-64,748.491052466716
5,"TAF10",1.62402210258623,3.08233165545728,4.34677768470697e-66,8.91779428999216e-63,2550.98868980255
5,"SNRPG",1.57867109983149,2.9869458839529,4.38592030437604e-66,8.91779428999216e-63,1824.66824243065
5,"BOLA2B",1.86532557483606,3.64350147523805,5.78944218117505e-66,1.11519891783593e-62,602.356496949513
5,"C19orf53",1.55314005866415,2.93455156449374,8.87707286292801e-66,1.62445994855151e-62,2945.94588620153
5,"ZBTB8OS",1.44382759950035,2.72041659854119,2.06164014483462e-65,3.59304607908582e-62,596.067929262269
5,"RPL28",1.82842961719552,3.55150278635047,3.32966092414395e-65,5.53919364376112e-62,36079.1454352799
