"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"HNF1B","HNF1B",-0.64778323812898,0.000154758910582287,4.71785999144028e-05,4.82628846282471,-4.06918142701737
"LINC00347","LINC00347",-0.788148203367377,0.000155059909136421,4.72828236176516e-05,3.85176344390021,-4.06866720863882
"RN7SL498P","RN7SL498P",-1.02355935057124,0.000155807454483674,4.75358219919513e-05,1.8605015391639,-4.06742342357342
"AL353751.1","AL353751.1",-0.901511866450831,0.000156177755343476,4.76613518035043e-05,3.46534159160966,-4.0668086245163
"AD001527.1","AD001527.1",-0.659266523224534,0.000156727513911078,4.78375221304558e-05,14.2897692141529,-4.06594839092298
"Z99289.3","Z99289.3",-0.984525708926199,0.000157315272328819,4.80295669744365e-05,2.8607893867025,-4.06501405764011
"GPX2","GPX2",-0.81416352153401,0.000157437044257476,4.80709631154568e-05,10.5299996998261,-4.06481312193975
"ELOVL7","ELOVL7",-0.743953402724922,0.000157850006633809,4.82055133727769e-05,713.370712528559,-4.06416115006261
"RNU2-68P","RNU2-68P",-0.821572304277512,0.000158723312907805,4.84849687983788e-05,6.27836959132118,-4.06281252572891
"AC090360.1","AC090360.1",-0.519892729574053,0.000158900186450934,4.85475129571577e-05,9.5070198810753,-4.06251170316838
"AL022329.1","AL022329.1",-1.27334807999741,0.00015950928411425,4.87507007446146e-05,1.44033837805253,-4.06153694746151
"Z73965.1","Z73965.1",-0.593487041187591,0.000159912053968204,4.8882368076608e-05,8.24421336935613,-4.06090735229347
"PHF21B","PHF21B",-1.20704830684879,0.000160814571550215,4.91797958276171e-05,2.28564753534417,-4.05949103564863
"ELL3","ELL3",-0.544303462043514,0.000162169996333864,4.96290678167724e-05,101.5192600977,-4.05736697564311
"AC034243.1","AC034243.1",-1.03229154304452,0.000163641520965323,5.01013225108043e-05,5.30328172170342,-4.05515381800706
"AC016205.1","AC016205.1",-1.08729671524967,0.000163649832950768,5.01082520419414e-05,4.24189551095263,-4.05512149113212
"C5orf60","C5orf60",-0.74102865917737,0.000163756239420649,5.01452203825683e-05,4.41389858822698,-4.05494910212875
"AC068481.1","AC068481.1",-0.789361165875751,0.000164108658254367,5.02575345992394e-05,13.3322167640876,-4.05442610178485
"CKMT1A","CKMT1A",-2.68497856358092,0.000164407578042159,5.03578874200349e-05,13.4555824688498,-4.05395973695154
"AC127894.1","AC127894.1",-0.60493309355194,0.000164510877114326,5.03983433519601e-05,6.87936439434189,-4.05377197714418
"AC092691.1","AC092691.1",-1.12378684414904,0.000164920229771579,5.05370058113642e-05,2.59995647250349,-4.05312951370486
"AF121898.1","AF121898.1",-0.576402561797746,0.000165298128660697,5.06705219303657e-05,35.1063196162755,-4.05251247173713
"DACH2","DACH2",-1.15511545423398,0.000165513546981665,5.07454255582667e-05,2.62766500682833,-4.05216698061364
"FAM218A","FAM218A",-0.511253582238921,0.000165540939890143,5.07582594138413e-05,12.3772382970867,-4.0521078332807
"LINC02185","LINC02185",-0.557869186371099,0.000165655107962773,5.08021425325375e-05,71.2109061243831,-4.05190569638593
"SLC26A9","SLC26A9",-1.30933619044775,0.000166546878272079,5.11068616362596e-05,8.5022435731863,-4.05050662935838
"AC104073.4","AC104073.4",-0.848280409998139,0.000167076084946022,5.12819997645351e-05,11.9912241338806,-4.04970608544969
"OR7E14P","OR7E14P",-0.595888891591693,0.000167076084946022,5.12826843807205e-05,10.732706718865,-4.04970296120509
"AC023905.1","AC023905.1",-0.595819410343798,0.000167141822535239,5.13073402670265e-05,4.70721154276904,-4.04959047045527
"AL139344.1","AL139344.1",-0.772267861036471,0.00016742010202908,5.14062205410407e-05,9.91852537659039,-4.04913985027638
"AL034430.1","AL034430.1",-0.981758453141981,0.000167468173845174,5.14254679537963e-05,93.2688314945823,-4.04905223090648
"C1QTNF12","C1QTNF12",-0.72855694903541,0.000168116840710716,5.16516842812683e-05,17.7042350374791,-4.04802475642896
"CYCSP38","CYCSP38",-1.07283491291176,0.000168792948724442,5.18729770347868e-05,1.79457694846825,-4.04702376296545
"GPR1","GPR1",-0.987629597638663,0.000169961589279011,5.22503355943351e-05,1908.32859633959,-4.04532612033656
"MIR1-1HG","MIR1-1HG",-2.46574347742983,0.000170068334789042,5.22922650922769e-05,17.8657546923685,-4.04513820767874
"LRRC3B","LRRC3B",-1.21800250509667,0.000170449805383087,5.24141257771799e-05,2.32859997640689,-4.04459288211188
"RPL9P18","RPL9P18",-1.23694223554921,0.000170622705936669,5.24748560791891e-05,0.841554537978138,-4.04432156292971
"AC084032.1","AC084032.1",-2.09964509433868,0.000170716514762383,5.25159792079969e-05,0.740217903758319,-4.0441380098217
"AL136982.6","AL136982.6",-1.00864778470648,0.000170716514762383,5.2521565856784e-05,4.58348576996731,-4.04411308432111
"AC127496.5","AC127496.5",-0.712955308085812,0.000171061420007831,5.26342830793327e-05,3.08201086232885,-4.04361071895344
"AC002064.2","AC002064.2",-0.812167244837492,0.000171061531178285,5.26389005595102e-05,5.03061193685048,-4.04359016121425
"AC008728.1","AC008728.1",-0.56701176730399,0.0001710980224623,5.26547138762152e-05,6.42776793558305,-4.04351977081592
"RPS26P6","RPS26P6",-0.656635073930246,0.000171197542708573,5.26899277414297e-05,11.561783858814,-4.04336309398693
"AC007671.1","AC007671.1",-0.817445398324718,0.000171370079696428,5.27522129955326e-05,6.20355942220639,-4.04308621140435
"SELENOKP3","SELENOKP3",-1.56213023324113,0.000172750623728371,5.32049518998371e-05,1.36583249510786,-4.04108286791041
"RPS13P2","RPS13P2",-1.13456770750031,0.000173092621237334,5.3319558083906e-05,1.05143753135318,-4.04057830446583
"ACSM1","ACSM1",-0.770274473413346,0.000173122578169044,5.33334245314597e-05,8.21217431724162,-4.04051732595797
"AC008171.1","AC008171.1",-1.15274528188251,0.000173226301337692,5.33700195343923e-05,1.41250974848012,-4.04035646941691
"FGF23","FGF23",-0.518118460346163,0.000175007292454512,5.39523589686396e-05,860.441733138792,-4.03781071182722
