"Fibroid","Myeloid","Lymphoid","IFN_high","Vascular","Muscle","sample_id","cluster_bio"
-0.254512313497142,1.12198739665033,0.743036896845398,0.706412925882907,-1.74825508419891,-0.267703925917077,"STRAPPAT00217-baseline","IFN-high"
-0.0809092705578738,0.742751879347139,0.61923436699175,0.745830041872684,-1.669880189548,-0.047161673388068,"STRAPPAT00216-baseline","IFN-high"
-0.0259428994725069,-0.0944802558528769,0.736732236662437,0.865044263243161,-1.1915198011834,-0.217566740981177,"STRAPPAT00215-baseline","IFN-high"
0.266139886491569,0.54908149720379,0.110491413373523,-0.657130894899026,0.245493236914591,-0.185703612240908,"STRAPPAT00214-baseline","Vascular"
0.0554906439489113,-0.856884399660149,-0.551245355842278,-0.527802126938403,-0.294723081010381,-0.176564087951055,"STRAPPAT00213-baseline","Vascular"
0.198383766108668,-0.119166183894453,-0.319173659465129,-0.83895784420332,0.474081617237082,-0.199490222605875,"STRAPPAT00212-baseline","Vascular"
0.22205097575885,0.698910744443462,1.23279640789571,1.20284251877315,-0.818797304040001,-0.339116326640354,"STRAPPAT00211-baseline","Lymphoid"
0.158741010082038,0.830803476740461,1.16405098431862,0.0684951519163599,-0.4650534037431,-0.314592990519373,"STRAPPAT00223-baseline","Lymphoid"
-0.0247304289738182,0.516031839199089,-0.0855764519915404,0.777482558063167,-0.107703172781554,-0.296854430307782,"STRAPPAT00222-baseline","Lymphoid"
0.453494707712793,-0.337054074880929,-0.776958784307771,-1.20782353444084,1.16143366620435,-0.222968761417841,"STRAPPAT00167-baseline","Vascular"
0.0929363043020435,0.621553056031706,0.177525739854293,-0.131553362611149,0.565457192645587,-0.330673650602934,"STRAPPAT00220-baseline","Lymphoid"
0.356950699269943,-0.956022972965343,-1.06714518778691,-1.29946566591354,1.49521641051468,-0.193813126239237,"STRAPPAT00189-baseline","Vascular"
0.0121310119928404,-0.0191201385536452,0.119036171247848,0.137028987915329,-0.360674697615761,-0.199346433220402,"STRAPPAT00101-baseline","IFN-high"
0.452557429180624,-1.02677631832502,-1.0438086766427,-0.323136948591327,1.43628497240214,-0.0996754172016308,"STRAPPAT00143-baseline","Vascular"
-0.216841950507466,-1.37280340036407,-1.63611690687726,-0.812709443040919,0.0698187524594717,-0.146706597619661,"STRAPPAT00208-baseline","IFN-high"
0.695313691876145,0.0910784065777175,-0.398974372782815,0.0798835282647657,0.552144163220214,-0.164364881124182,"STRAPPAT00175-baseline","Vascular"
